,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
11,2-s2.0-85075029611,10.17973/MMSJ.2019_11_2019064,,,Development of a method to determine cutting forces based on planning and process data as contribution for the creation of digital process twins,ar,Article,Hänel A.,60023725;60018353,Helmut Schmidt University - University of the Federal Armed Forces Hamburg;Technische Universität Dresden,Hamburg;Dresden,Germany;Germany,7,"Hänel, A.;Wenkler, E.;Schnellhardt, T.;Corinth, C.;Brosius, A.;Fay, A.;Nestler, A.",57195808320;57208641522;57211782362;57211795973;6602632368;8562476000;57190541451,60018353;60018353;60018353;60023725;60018353;60023725;60018353,2019-11-01,November 2019,MM Science Journal,18031269,21100337502,18050476,Journal,2019,November,,3148-3155,"© 2019, MM publishing Ltd.. All rights reserved. A digital process twin unifies information from planning and manufacturing of a machining process. Calculation and technological models allow the prediction of further information, which normally is not provided. The work shows the recording of both data sources and creation of a digital process twin for a milling application. Further the usage of technological models is shown at the example of cutting force calculation based on drive currents in combination with a material removal simulation. Also the expansion of digital process twin information for further usage in calculations and visualizations is shown on the example of a part with a high-performance material of the aerospace industry.",Cutting forces | Digital process twin | Machine data collection | Milling | Process data,2,1,BMWi,undefined,Bundesministerium für Wirtschaft und Technologie
12,2-s2.0-85076226374,10.1088/1757-899X/564/1/012004,,,Technological investigation of binderless nanocrystalline cubic boron nitride (BNNC) as cutting material for groove turning of hardened steels,cp,Conference Paper,Hänel A.,60018353;60008988,Technische Universität Dresden;Technische Universität Bergakademie Freiberg,Dresden;Freiberg,Germany;Germany,6,"Hänel, A.;Hasterok, M.;Nestler, A.;Schwarz, M.;Brosius, A.;Kroke, E.",57195808320;35788092600;57190541451;7402724789;6602632368;6701389981,60018353;60008988;60018353;60008988;60018353;60008988,2019-10-30,30 October 2019,IOP Conference Series: Materials Science and Engineering,17578981,19700200831,1757899X,Conference Proceeding,564,1,12004,,"© Published under licence by IOP Publishing Ltd. By using a high-pressure/higherature process (HP/HT), it is possible to synthesise new ultra-hard cutting materials called binderless nanocrystalline cubic boron nitride (BNNC). The starting material is a pyrolytically deposited hexagonal boron nitride (pBN), which is converted at temperatures of 1400 °C-2200 °C and pressures of 10-20 GPa in a direct synthesis without any binding material. The average crystallite size of this material is 50-100 nm and is thus significantly smaller than conventional polycrystalline cubic boron nitride (PCBN) cutting materials. Compared to conventional PCBN cutting materials, this material has an increased hardness, hot hardness and better temperature resistance. This provides an excellent alternative to extend the process limits for the machining of hardened steels and superalloys. In this conference paper, the first technological results for groove turning in hardened steels with this new promising cutting material will be presented.",,1,1,BMWi,undefined,Bundesministerium für Wirtschaft und Technologie
13,2-s2.0-85066935296,10.1016/j.joms.2019.04.020,S0278239119304513,31112678.0,Biomechanical Evaluation of Mandibular Condyle Fracture Osteosynthesis Using the Rhombic Three-Dimensional Condylar Fracture Plate,ar,Article,Ben Achour A.,60025676;60018353,Dresden University Faculty of Medicine and University Hospital Carl Gustav Carus;Technische Universität Dresden,Dresden;Dresden,Germany;Germany,8,"Ben Achour, Anas;Meißner, Heike;Teicher, Uwe;Haim, Dominik;Range, Ursula;Brosius, Alexander;Leonhardt, Henry;Lauer, Günter",57209229747;7103095356;12241667000;16432819300;6603275308;6602632368;25825280000;55229043300,60018353;60025676;60018353;60025676;60025676;60018353;60025676;60025676,2019-09-01,September 2019,Journal of Oral and Maxillofacial Surgery,02782391,26152,15315053,Journal,77,9,,1868.e1-1868.e15,"© 2019 American Association of Oral and Maxillofacial Surgeons Purpose: The aim of the present study was to evaluate the biomechanical stability of osteosynthesis in mandibular condyle fractures using a newly designed rhombic 3-dimensional (3D) condylar fracture plate and compare it with that using standard two 4-hole miniplates and with that in nonfractured condyles. Materials and Methods: Using 200 porcine mandibles, 3 different monocortical plating techniques were evaluated. The condyles were fractured along a defined line tangentially through the sigmoid notch and perpendicular to the posterior border. After anatomic reduction, osteosynthesis was performed using either standard rhombic 3D condylar fracture plates and standard screws (group A) or locking rhombic 3D condylar fracture plates, which were fixed either with standard screws (group B) or locking screws (group C). For comparison, nonfractured condyles (group D) and condyles fixed with standard two 4-hole miniplates and 8 screws (group E) were included. Using a universal mechanical testing machine (TIRA Test 2720; TIRA GmbH Schalkau, Germany), each group was subjected to linear loading from laterally to medially, medially to laterally, anteriorly to posteriorly, and posteriorly to anteriorly. The maximum axial force and displacement at the maximum force were measured. The mean values were compared for statistical significance using analysis of variance with Bonferroni's correction (statistical significance set at P <.05). Results: The main mode of failure in the plating techniques investigated was the pull out of screws from the proximal fragment. We found no statistically significant differences in the stability of osteosynthesis between the two 4-hole miniplates and the rhombic 3D condylar fracture plate when loading from posteriorly to anteriorly, laterally to medially, and medially to laterally. However, when loading from anteriorly to posteriorly, a statistically significant difference between the standard and locking system and the two 4-hole miniplate system was observed, with the latter proving more stable. Conclusions: The results of the present biomechanical study suggest that the rhombic 3D condylar fracture plates are suitable for the treatment of condylar neck fractures. Both types of the plate are able to resist physiologic strains comparable to the two 4-hole miniplates.",,4,0,,undefined,
14,2-s2.0-85057775720,10.1007/s11740-018-0861-9,,,Fatigue analysis of rolled components considering transient cyclic material behaviour and residual stresses,ar,Article,Kühne D.,60018353,Technische Universität Dresden,Dresden,Germany,8,"Kühne, David;Guilleaume, Christina;Seiler, Martha;Hantschke, Peter;Ellmer, Franz;Linse, Thomas;Brosius, Alexander;Kästner, Markus",57204919712;57199212030;57204921013;57204909615;56997339900;23994416100;6602632368;57192105562,60018353;60018353;60018353;60018353;60018353;60018353;60018353;60018353,2019-04-08,8 April 2019,Production Engineering,09446524,15300154820,18637353,Journal,13,2,,189-200,"© 2018, German Academic Society for Production Engineering (WGP). Forming processes generally lead to residual stresses. Compressive residual stresses can have a beneficial impact on the fatigue life of components, which is demonstrated here in terms of a skew-rolled hybrid shaft-hub connection. In order to set the basis for a systematic investigation of this effect, a strategy for the evaluation of the influence of residual stresses on the fatigue resistance of formed components is proposed. It involves the determination of the expectable residual stresses through a simulation of the forming process as well as a fatigue analysis. While state-of-the-art fatigue concepts assume unchanging cyclic material behaviour throughout the entire fatigue life of the component, this assumption is not adequate for residual stress-afflicted components. Hence, a generalization to transient cyclic material behaviour with an asymmetry in tension and compression is introduced.",Fatigue | Notch strain concept | Residual stresses | Skew rolling | Transient material behaviour,2,0,DFG,BR 3500/21-1,Deutsche Forschungsgemeinschaft
15,2-s2.0-85057560233,10.1007/s11740-018-0860-x,,,A non-destructive testing method for joints by the measurement of the energy dissipation,ar,Article,Wolf A.,60018353,Technische Universität Dresden,Dresden,Germany,3,"Wolf, Alexander;Lafarge, Remi;Brosius, Alexander",57199191038;57202157919;6602632368,60018353;60018353;60018353,2019-02-12,12 February 2019,Production Engineering,09446524,15300154820,18637353,Journal,13,1,,99-106,"© 2018, German Academic Society for Production Engineering (WGP). The multi-material mix used nowadays requires several joints to establish a durable connection. It is necessary to test the joints without harming the parts to ensure the safety of the whole structure. Therefore, a new approach for a non-destructive testing method is presented and validated in this paper. The aim is to establish the testing routine as a fast and easy alternative to the few known non-destructive testing procedures. The approach measures the dissipation of energy by detecting the propagated waves on the surfaces of the joining partners next to the joint. After a short description and a theoretical insight in wave propagation, the experimental results will be substantiated by simulated findings. A bolted connection was chosen in the experiments due to the possibility to easily apply and check different torque moments. The simulation model was adapted and tested for different applied contact pressures. The general results show a detectable loss of energy that can be linked to different torque moments. Different effects are visible in the simulation and the experiments and will be described. The findings will be discussed and an short outlook will be given. The aim of proving the concept via experimental and simulated results was reached.",Mechanical joints | Non-destructive testing | Torque moment analysis | Wave energy dissipation,0,0,,undefined,
16,2-s2.0-85076191985,10.1016/j.promfg.2019.02.162,,,Damage characterization on heterogeneous tensile tests,cp,Conference Paper,Küsters N.,60018353,Technische Universität Dresden,Dresden,Germany,2,"Küsters, Niklas;Brosius, Alexander",57193727220;6602632368,60018353;60018353,2019-01-01,2019,Procedia Manufacturing,,21100792109,23519789,Conference Proceeding,29,,,458-463,"© 2019 The Authors. Published by Elsevier B.V. Numerical simulations of sheet metal forming operations in industrial applications require a precise description of the material behavior regarding yielding and damage evolution in order to obtain a precise prediction of the process windows. Diverse experimental tests referring to multiaxial stress conditions as biaxial, uniaxial tension and shear are required for the calibration of the corresponding models. Recently, a new method for stress determination on digital image correlation data (DIC data) was proposed, which can be used for efficient parameter identification of the yielding behavior, but also for direct damage determination. Focus of this work is the application of this technique for damage characterization on heterogeneous tensile tests. Heterogeneous tests show great potential in reducing the number of required experimental tests as a wide stress range is applied with one single test. Two complex notched uniaxial specimen are proposed and tested for a mild steel. For these tests, damage fields based on Cockcroft-Latham criterion and triaxiality-strain curves were calculated using the new technique. Furthermore, the obtained results and the suitability of methodology for damage characterization are discussed.",Damage | Forming | Heterogeneous test | Sheet metal,1,1,AiF,IGF 18143BG,Allianz Industrie Forschung
17,2-s2.0-85076168331,10.1016/j.promfg.2019.02.128,,,Influence of binder pressure zones on the robustness of restraining forces in sheet metal forming,cp,Conference Paper,Leocata S.,60111363;60018353,Bavarian Motor Works Group;Technische Universität Dresden,Munich;Dresden,Germany;Germany,4,"Leocata, Salvatore;Senner, Thomas;Saubiez, Jean Marc;Brosius, Alexander",57212193853;56201790300;57208176728;6602632368,60111363;60111363;60111363;60018353,2019-01-01,2019,Procedia Manufacturing,,21100792109,23519789,Conference Proceeding,29,,,209-216,"© 2019 The Authors. Published by Elsevier B.V. The reproducibility of the restraining force is analyzed for binders with a drawbead and different locations of the surface pressure in material flow direction, so called pressure zones. Therefore, an experimental strip tensile test is carried out and the characteristic and scatter of the restraining force is analyzed for the different pressure zones. The surface roughening of the sheet caused by the drawbead is identified as an important influencing factor on the reproducibility of the restraining force. An increased surface roughness leads to a decreased sensitivity of the friction to variations in the amount of lubricant. Thus, the robustness of the drawing process can be increased by an appropriate choice of the pressure zone.",Binder pressure zone | Drawbead | Robustness | Sheet metal,2,1,,undefined,
18,2-s2.0-85065414579,10.1016/j.procir.2019.02.003,S2212827119301167,,Intelligent characteristic value determination for cutting processes based on machine learning,cp,Conference Paper,Wenkler E.,60018353,Technische Universität Dresden,Dresden,Germany,5,"Wenkler, Eric;Arnold, Frank;Hänel, Albrecht;Nestler, Andreas;Brosius, Alexander",57208641522;57195807331;57195808320;57190541451;6602632368,60018353;60018353;60018353;60018353;60018353,2019-01-01,2019,Procedia CIRP,22128271,21100243809,,Conference Proceeding,79,,,9-14,"© 2019 The Author(s). The need of safe technological process parameters is one of the main tasks for further automation, especially in the machining of parts. On that purpose, a system for the intelligent forecasting of specific cutting forces was developed. It uses an ANN, based on the strategies of machine learning, to determine the specific cutting forces from given planning data and recorded process data. The System provides the opportunity to forecast specific cutting forces on similar operating conditions. This Information can be used in planning stage for process optimization and also for further automation tasks.",Artificial Intelligence | Automation | Machine Data Collection | Machine Learning | Milling | Process Planing | Specific Cutting Force,4,1,,undefined,
19,2-s2.0-85066827109,10.1016/j.cirp.2019.05.007,S0007850619301647,,Models and modelling for process limits in metal forming,ar,Article,Volk W.,60073652;60027646;60025272;60019722;60018353;60017351;60015815;60011226;60000481,Tongji University;University System of New Hampshire;The University of Tokyo;Technical University of Munich;Technische Universität Dresden;AGH University of Science and Technology;Universität Stuttgart;Technische Universität Darmstadt;Università degli Studi di Padova,Shanghai;Durham;Tokyo;Munich;Dresden;Krakow MP;Stuttgart;Darmstadt;Padua,China;United States;Japan;Germany;Germany;Poland;Germany;Germany;Italy,9,"Volk, Wolfram;Groche, P.;Brosius, Alexander;Ghiotti, Andrea;Kinsey, Brad L.;Liewald, Mathias;Madej, Lukasz;Min, Junying;Yanagimoto, Jun",7005571313;6602628184;6602632368;55886417900;7005126563;24385534300;23103240000;35746633500;7004611347,60019722;60011226;60018353;60000481;60027646;60015815;60017351;60073652;60025272,2019-01-01,2019,CIRP Annals,00078506,19804,17260604,Journal,68,2,,775-798,"© 2019 Modelling of metal forming processes is an essential task of production engineering. Due to the latest technological developments, a huge variety of models is already available and extending continuously. Thus, it is important to find a suitable model. This paper gives an overview on the common classification and characterization of modelling and models in metal forming, as well as introduces a model selection procedure. Based on this classification, various relevant process limits for metal forming are investigated regarding existing models. The conclusion of the paper shows open topics as well as upcoming challenges in modelling process limits in metal forming.",Metal forming | Modelling | Process limits,8,0,,undefined,
107,2-s2.0-85078272317,10.1088/1757-899X/651/1/012057,,,Predicting plasticity and fracture of severe pre-strained en AW-5182 by Yld2000 yield locus and Hosford-Coulomb fracture model in sheet forming applications,cp,Conference Paper,Camberg A.A.,60096448;60020238,Benteler AG;Universität Paderborn,Paderborn;Paderborn,Germany;Germany,4,"Camberg, A. A.;Tröster, T.;Bohner, F.;Tölle, J.",57202157197;6603460544;6506434838;57198008481,60020238;60020238;60096448;60096448,2019-11-26,26 November 2019,IOP Conference Series: Materials Science and Engineering,17578981,19700200831,1757899X,Conference Proceeding,651,1,012057,,"© Published under licence by IOP Publishing Ltd. The objective of this contribution is to evaluate the capabilities of the Yld2000 yield locus and the Hosford-Coulomb fracture model under isothermal conditions for an EN AW-5182 H18 material in sheet metal forming applications. The calibration of the Yld2000 model is based on uniaxial tension tests in 0°, 45° and 90° in respect to rolling direction and additional layer compression tests. Subsequently, the calibrated plasticity model is evaluated under shear stress and plane strain dominant conditions. Stress state dependent fracture strains are obtained from various tensile tests as well as from FLD tests. The implemented failure prediction is based on a generalized incremental stress-state dependent fracture model (GISSMO) combined with a three-parameter Hosford-Coulomb fracture and instability curve. Finally, the plasticity and fracture models are validated at a cross die cup. It is shown that the models are capable to provide an accurate prediction of the onset of fracture and could be used for a non-isothermal extension in future work.",,0,1,,undefined,Benteler International AG
